country_iso3,year,population,padded_population_of_researchers,paddedpop,number_of_inmigrations,number_of_outmigrations,netmigration,outmigrationrate,inmigrationrate,netmigrationrate,decade,population_growth_rate,researcher_density_per_1000,migration_status
ABW,1996,79417.0,,,,,,,,,1990s,,,Unknown
ABW,1997,81858.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1990s,0.0307,0.012,Balanced
ABW,1998,84355.0,,,,,,,,,1990s,0.0305,,Unknown
ABW,1999,86867.0,,,,,,,,,1990s,0.0298,,Unknown
ABW,2000,89101.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2000s,0.0257,0.022,Balanced
ABW,2001,90691.0,,,,,,,,,2000s,0.0178,,Unknown
ABW,2002,91781.0,,,,,,,,,2000s,0.012,,Unknown
ABW,2003,92701.0,,,,,,,,,2000s,0.01,,Unknown
ABW,2004,93540.0,,,,,,,,,2000s,0.0091,,Unknown
ABW,2005,94483.0,,,,,,,,,2000s,0.0101,,Unknown
ABW,2006,95606.0,,,,,,,,,2000s,0.0119,,Unknown
ABW,2007,96787.0,,,,,,,,,2000s,0.0124,,Unknown
ABW,2008,97996.0,,,,,,,,,2000s,0.0125,,Unknown
ABW,2009,99212.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2000s,0.0124,0.091,Balanced
ABW,2010,100341.0,11.0,11.0,1.0,0.0,1.0,0.0,0.09090909,0.09090909,2010s,0.0114,0.11,Brain Gain
ABW,2011,101288.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2010s,0.0094,0.138,Balanced
ABW,2012,102112.0,18.0,18.0,1.0,3.0,-2.0,0.16666667,0.055555556,-0.11111111,2010s,0.0081,0.176,Brain Drain
ABW,2013,102880.0,19.0,19.0,1.0,1.0,0.0,0.05263158,0.05263158,0.0,2010s,0.0075,0.185,Balanced
ABW,2014,103594.0,20.0,20.0,2.0,1.0,1.0,0.05,0.1,0.05,2010s,0.0069,0.193,Brain Gain
ABW,2015,104257.0,18.0,18.0,2.0,4.0,-2.0,0.22222222,0.11111111,-0.11111111,2010s,0.0064,0.173,Brain Drain
ABW,2016,104874.0,16.0,16.0,0.0,1.0,-1.0,0.0625,0.0,-0.0625,2010s,0.0059,0.153,Brain Drain
ABW,2017,105439.0,,,,,,,,,2010s,0.0054,,Unknown
ABW,2018,105962.0,,,,,,,,,2010s,0.005,,Unknown
ABW,2019,106442.0,27.0,27.0,6.0,0.0,6.0,0.0,0.22222222,0.22222222,2010s,0.0045,0.254,Brain Gain
ABW,2020,106585.0,24.0,24.0,2.0,4.0,-2.0,0.16666667,0.083333336,-0.083333336,2020s,0.0013,0.225,Brain Drain
ABW,2021,106537.0,27.0,27.0,4.0,3.0,1.0,0.11111111,0.14814815,0.037037037,2020s,-0.0005,0.253,Brain Gain
ABW,2022,106445.0,0.0,0.0,5.0,1.0,4.0,,,,2020s,-0.0009,0.0,Brain Gain
ABW,2023,106445.0,,,,,,,,,2020s,0.0,,Unknown
AFG,1996,17106595.0,,,,,,,,,1990s,,,Unknown
AFG,1997,17788819.0,,,,,,,,,1990s,0.0399,,Unknown
AFG,1998,18493132.0,,,,,,,,,1990s,0.0396,,Unknown
AFG,1999,19262847.0,6.0,6.0,1.0,0.0,1.0,0.0,0.16666667,0.16666667,1990s,0.0416,0.0,Brain Gain
AFG,2000,19542982.0,10.0,10.0,2.0,0.0,2.0,0.0,0.2,0.2,2000s,0.0145,0.001,Brain Gain
AFG,2001,19688632.0,15.0,15.0,0.0,2.0,-2.0,0.13333334,0.0,-0.13333334,2000s,0.0075,0.001,Brain Drain
AFG,2002,21000256.0,18.0,18.0,2.0,1.0,1.0,0.055555556,0.11111111,0.055555556,2000s,0.0666,0.001,Brain Gain
AFG,2003,22645130.0,24.0,24.0,6.0,3.0,3.0,0.125,0.25,0.125,2000s,0.0783,0.001,Brain Gain
AFG,2004,23553551.0,33.0,33.0,7.0,2.0,5.0,0.060606062,0.21212122,0.15151516,2000s,0.0401,0.001,Brain Gain
AFG,2005,24411191.0,39.0,39.0,5.0,6.0,-1.0,0.15384616,0.12820514,-0.025641026,2000s,0.0364,0.002,Brain Drain
AFG,2006,25442944.0,50.0,50.0,10.0,6.0,4.0,0.12,0.2,0.08,2000s,0.0423,0.002,Brain Gain
AFG,2007,25903301.0,60.0,60.0,2.0,6.0,-4.0,0.1,0.033333335,-0.06666667,2000s,0.0181,0.002,Brain Drain
AFG,2008,26427199.0,68.0,68.0,6.0,10.0,-4.0,0.14705883,0.0882353,-0.05882353,2000s,0.0202,0.003,Brain Drain
AFG,2009,27385307.0,105.0,105.0,22.0,6.0,16.0,0.057142857,0.20952381,0.15238096,2000s,0.0363,0.004,Brain Gain
AFG,2010,28189672.0,124.0,124.0,16.0,13.0,3.0,0.10483871,0.12903225,0.024193548,2010s,0.0294,0.004,Brain Gain
AFG,2011,29249157.0,144.0,144.0,16.0,12.0,4.0,0.083333336,0.11111111,0.027777778,2010s,0.0376,0.005,Brain Gain
AFG,2012,30466479.0,165.0,165.0,15.0,9.0,6.0,0.054545455,0.09090909,0.036363635,2010s,0.0416,0.005,Brain Gain
AFG,2013,31541209.0,157.0,157.0,7.0,16.0,-9.0,0.10191083,0.044585988,-0.05732484,2010s,0.0353,0.005,Brain Drain
AFG,2014,32716210.0,171.0,171.0,13.0,14.0,-1.0,0.081871346,0.07602339,-0.0058479533,2010s,0.0373,0.005,Brain Drain
AFG,2015,33753499.0,192.0,192.0,23.0,20.0,3.0,0.104166664,0.119791664,0.015625,2010s,0.0317,0.006,Brain Gain
AFG,2016,34636207.0,251.0,251.0,29.0,8.0,21.0,0.03187251,0.11553785,0.08366534,2010s,0.0262,0.007,Brain Gain
AFG,2017,35643418.0,328.0,328.0,45.0,25.0,20.0,0.076219514,0.13719513,0.06097561,2010s,0.0291,0.009,Brain Gain
AFG,2018,36686784.0,421.0,421.0,53.0,22.0,31.0,0.052256532,0.12589073,0.07363421,2010s,0.0293,0.011,Brain Gain
