from_country_iso3,to_country_iso3,year,n_migrations,n_migrations_back,netmigrations,decade,corridor,flow_direction,flow_size_category
USA,DEU,2014,1270,1372,-102,2010s,USA-DEU,Net flow back to origin,Very Large
USA,SAU,2012,131,58,73,2010s,USA-SAU,Net flow to destination,Very Large
USA,CHN,2006,859,1109,-250,2000s,USA-CHN,Net flow back to origin,Very Large
USA,CAN,2020,1851,2045,-194,2020s,USA-CAN,Net flow back to origin,Very Large
JPN,USA,2003,1634,1356,278,2000s,JPN-USA,Net flow to destination,Very Large
GBR,CHE,2008,178,183,-5,2000s,GBR-CHE,Net flow back to origin,Very Large
USA,JPN,2004,1137,1415,-278,2000s,USA-JPN,Net flow back to origin,Very Large
FRA,NLD,2012,120,127,-7,2010s,FRA-NLD,Net flow back to origin,Very Large
PRT,GBR,2016,131,86,45,2010s,PRT-GBR,Net flow to destination,Very Large
ISR,USA,2013,410,346,64,2010s,ISR-USA,Net flow to destination,Very Large
GBR,AUS,1999,288,275,13,1990s,GBR-AUS,Net flow to destination,Very Large
BRA,MEX,2020,31,26,5,2020s,BRA-MEX,Net flow to destination,Very Large
ITA,CAN,2014,72,49,23,2010s,ITA-CAN,Net flow to destination,Very Large
CAN,CHN,2011,254,236,18,2010s,CAN-CHN,Net flow to destination,Very Large
ESP,USA,2012,544,447,97,2010s,ESP-USA,Net flow to destination,Very Large
MYS,AUS,2005,16,19,-3,2000s,MYS-AUS,Net flow back to origin,Very Large
DEU,BEL,2006,74,47,27,2000s,DEU-BEL,Net flow to destination,Very Large
ESP,ARG,2009,87,83,4,2000s,ESP-ARG,Net flow to destination,Very Large
GBR,CHN,2015,452,341,111,2010s,GBR-CHN,Net flow to destination,Very Large
USA,JPN,2008,1115,1201,-86,2000s,USA-JPN,Net flow back to origin,Very Large
AUT,CAN,2010,22,17,5,2010s,AUT-CAN,Net flow to destination,Very Large
USA,HKG,2013,150,146,4,2010s,USA-HKG,Net flow to destination,Very Large
USA,IRL,2009,129,137,-8,2000s,USA-IRL,Net flow back to origin,Very Large
AUS,CAN,2008,119,149,-30,2000s,AUS-CAN,Net flow back to origin,Very Large
JPN,DEU,2009,143,107,36,2000s,JPN-DEU,Net flow to destination,Very Large
GBR,AUT,2020,128,95,33,2020s,GBR-AUT,Net flow to destination,Very Large
TWN,CHN,2006,48,62,-14,2000s,TWN-CHN,Net flow back to origin,Very Large
MYS,SWE,2012,4,6,-2,2010s,MYS-SWE,Net flow back to origin,Large
